School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
ST. JOHN'S CATHOLIC SCHOOL-HOT,30,6,583 W Grand Ave               ,Hot Springs         ,AR,71901,Ms. ,Angela              ,               ,Isaacs                   ,LAKE HAMILTON SCHOOL DISTRICT,2605000,12,P ,8,Y,N,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,30,6,1912 W Main                   ,Russellville        ,AR,72801,Mrs.,Vivian              ,               ,Fox                      ,POTTSVILLE SCHOOL DISTRICT,5804000,0,P ,5,N,Y,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,30,6,1912 West Main                ,Russellville        ,AR,72801,Ms  ,Vvian               ,               ,Fox                      ,DARDANELLE SCHOOL DISTRICT,7504000,65,K ,5,N,Y,N,
ST. JOHN'S CATHOLIC SCHOOL-RUS,30,6,1912 West Main                ,Russellville        ,AR,72802,TYL ,Mark                ,               ,Tyler                    ,RUSSELLVILLE SCHOOL DISTRICT,5805000,62,K ,5,N,Y,N,
ST. JOHN'S LUTHERAN - STUTTGAR,30,6,2019 S. Buerkle               ,Stuttgart           ,AR,72160,Ms. ,Kristian            ,               ,Dabbs                    ,STUTTGART SCHOOL DISTRICT,104000,112,P ,6,N,Y,N,
ST. JOSEPH CATHOLIC SCHOOL-CON,30,6,502 Front St                  ,Conway              ,AR,72032,Mr. ,Joe                 ,               ,Mallett                  ,CONWAY SCHOOL DISTRICT,2301000,531,K ,12,N,N,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,30,6,1722 N Starr Dr               ,Fayetteville        ,AR,72701,Mr. ,Jason               ,               ,Pohlmeier                ,FAYETTEVILLE SCHOOL DISTRICT,7203000,319,P ,8,Y,Y,N,
ST. JOSEPH CATHOLIC SCHOOL-FAY,30,6,1722 N. Starr Drive           ,Fayetteville        ,Ar,72701,Ms. ,Michelle            ,               ,Hightower                ,ELKINS SCHOOL DISTRICT,7201000,1,K ,5,Y,N,N,
ST. JOSEPH CATHOLIC SCHOOL-PAR,30,6,15 S Spruce  St               ,Paris               ,AR,72855,Fr. ,Reginald            ,               ,Udouj                    ,PARIS SCHOOL DISTRICT,4203000,64,P ,8,N,N,N,
ST. MARY'S SCHOOL - PARAGOULD ,30,6,220 N. 2nd St.                ,Paragould           ,AR,72450,Mrs.,Sharon              ,Kay            ,Warren                   ,PARAGOULD SCHOOL DISTRICT,2808000,47,P ,6,Y,Y,N,
ST. PAUL CATHOLIC SCHOOL - POC,30,6,311 Cedar Street              ,Pocahontas          ,AR,72455,Mrs.,Maria               ,A              ,Dickson                  ,POCAHONTAS SCHOOL DISTRICT,6103000,106,P ,6,N,N,N,
ST. RAPHAEL CATHOLIC SCHOOL - ,30,6,1386 South West End St.       ,Springdale          ,AR,72764,    ,Denise              ,               ,Sanchez                  ,SPRINGDALE SCHOOL DISTRICT,7207000,45,P ,P ,N,N,N,
ST. THERESA CATHOLIC SCHOOL - ,30,6,6311 BASELINE RD.             ,LITTLE ROCK         ,AR,72209,MS. ,KRISTY              ,               ,DUNN                     ,LITTLE ROCK SCHOOL DISTRICT,6001000,229,P ,8,Y,Y,N,
ST. VINCENT DE PAUL CATHOLIC -,30,6,1315 W. Cypress St.           ,Rogers              ,AR,72758,    ,Alice               ,               ,Stautzenberger           ,ROGERS SCHOOL DISTRICT,405000,335,P ,8,Y,Y,N,
ST. VINCENT DE PAUL CATHOLIC -,30,6,1315 W CYPRESS                ,ROGERS              ,AR,72758,MRS ,ALICE               ,               ,STAUTZENBERGER           ,PEA RIDGE SCHOOL DISTRICT,407000,0,P ,8,N,N,N,
SUBIACO ACADEMY - SUBIACO     ,30,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mr. ,Pat                 ,               ,Franz                    ,CLARKSVILLE SCHOOL DISTRICT,3601000,0,7,12,N,N,N,
SUBIACO ACADEMY - SUBIACO     ,30,6,405 N. Subiaco Ave.           ,Subiaco             ,AR,72865,Mrs.,Cheryl              ,               ,Goetz                    ,SCRANTON SCHOOL DISTRICT,4204000,0,7,12,N,N,N,
THADEN SCHOOL                 ,30,6,410 E Staggerwing Ln          ,Bentonville         ,AR,72712,    ,Clayton             ,               ,Marsh                    ,BENTONVILLE SCHOOL DISTRICT,401000,220,7,10,N,N,N,
THE ANTHONY SCHOOL - LITTLE RO,30,6,7700 OHIO ST.                 ,LITTLE ROCK         ,AR,72227,DR. ,BANE                ,               ,COVERT                   ,LITTLE ROCK SCHOOL DISTRICT,6001000,292,P ,8,N,N,N,
THE DELTA SCHOOL              ,30,6,5101 Hwy 61                   ,Wilson              ,AR,72395,    ,Andy                ,               ,Jones-Wilkins            ,RIVERCREST SCHOOL DISTRICT,4706000,95,P ,11,N,N,N,
THE HUDA ACADEMY - LR         ,30,6,3221 ANNA ST.                 ,LITTLE ROCK         ,AR,72204,MR. ,ZIAD                ,               ,ABDULLA                  ,LITTLE ROCK SCHOOL DISTRICT,6001000,141,P ,6,Y,Y,Y,
TRINITY CHRISTIAN ACADEMY-HAMB,30,6,803 Ashley Rd 95              ,Hamburg             ,Ar,71646,    ,John                ,               ,Williams                 ,CROSSETT SCHOOL DISTRICT,201000,33,P ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,30,6,PO Box 190                    ,Bradford            ,AR,72020,    ,Bill                ,               ,Franks                   ,BALD KNOB SCHOOL DISTRICT,7301000,0,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-BRADF,30,6,PO Box 190                    ,Bradford            ,AR,72020,Mr. ,Don                 ,               ,Robinson                 ,BRADFORD SCHOOL DISTRICT,7303000,7,K ,12,N,N,N,
TRINITY CHRISTIAN SCHOOL-TEXAR,30,6,3107 Trinity Blvd.            ,Texarkana           ,AR,71854,    ,Greg                ,               ,Jones                    ,TEXARKANA SCHOOL DISTRICT,4605000,220,P ,12,N,N,N,
TRINITY HOLINESS              ,30,6,1914 hwy 70W                  ,Glenwood            ,AR,71943,Mr. ,Sammy               ,               ,Cottrell                 ,KIRBY SCHOOL DISTRICT,5503000,3,K ,12,N,N,N,
TRINITY JUNIOR HIGH SCHOOL - F,30,6,1205 SO ALBERT PIKE           ,FORT SMITH          ,AR,72903,DR  ,KAREN               ,               ,HOLLENBECK               ,FORT SMITH SCHOOL DISTRICT,6601000,225,7,9,Y,Y,Y,
UMPIRE CHRISTIAN SCHOOL       ,30,6,164 School St                 ,Umpire              ,AR,71971,    ,Tammie              ,               ,Beierle                  ,COSSATOT RIVER SCHOOL DISTRICT,5707000,8,1,8,N,N,N,
UNION CHRISTIAN ACADEMY - FORT,30,6,4201 WINDSOR DRIVE            ,FORT SMITH          ,AR,72908,    ,RICKY               ,               ,MASSENGALE               ,FORT SMITH SCHOOL DISTRICT,6601000,73,P ,12,N,Y,Y,
VALLEY CHRISTIAN ACADEMY      ,30,6,P O Box 1786                  ,Russellville        ,AR,72811,Mrs.,Rebecca             ,               ,Partain                  ,POTTSVILLE SCHOOL DISTRICT,5804000,0,K ,9,N,N,N,
VALLEY CHRISTIAN ACADEMY      ,30,6,201 East G Street             ,Russellville        ,Ar,72801,Ms  ,Rebecca             ,               ,Partain                  ,DARDANELLE SCHOOL DISTRICT,7504000,127,K ,12,N,N,N,
VERITAS SCHOOL                ,30,6,2101 E 50th                   ,Texarkana           ,AR,71854,    ,Ben                 ,               ,House                    ,TEXARKANA SCHOOL DISTRICT,4605000,37,1,12,N,N,N,
VICTORY CHRISTIAN SCHOOL      ,30,6,1244 Maul Road                ,Camden              ,AR,71701,Mr  ,Merle               ,               ,Dorey                    ,CAMDEN FAIRVIEW SCHOOL DISTRICT,5204000,80,K ,12,N,N,N,
WALNUT FARM MONTESSORI SCHOOL ,30,6,4208 E Central Ave            ,Bentonville         ,AR,72712,    ,Ellen               ,               ,Beech                    ,BENTONVILLE SCHOOL DISTRICT,401000,114,P ,4,N,N,N,
WEST MEMPHIS CHRISTIAN - WEST ,30,6,1101 North Mossouri           ,West Memphis        ,Ar,72301,    ,Shane               ,               ,Edwards                  ,MARION SCHOOL DISTRICT,1804000,75,K ,5,Y,Y,N,
WEST SIDE CHRISTIAN SCHOOL - E,30,6,2400 W. Hillsboro             ,El Dorado           ,AR,71730,    ,Robin               ,               ,Colley                   ,SMACKOVER-NORPHLET SCHOOL DISTRICT,7008000,0,K ,12,N,N,N,
WEST SIDE CHRISTIAN SCHOOL - E,30,6,2400 W. Hillsboro             ,El Dorado           ,Ar,71730,Mrs.,Robin               ,               ,Colley                   ,EL DORADO SCHOOL DISTRICT,7001000,160,K ,12,N,N,N,
WINTHROP BAPTIST ACADEMY      ,30,6,820 Broad St                  ,Winthrop            ,AR,71866,Mrs ,Rosie               ,               ,Jones                    ,HORATIO SCHOOL DISTRICT,6703000,1,K ,12,N,N,N,
WORD OF FAITH CHRISTIAN       ,30,6,12826 hWY. 8 W.               ,AMITY               ,AR,71921,    ,MARY                ,               ,FORSYTHE                 ,CENTERPOINT SCHOOL DISTRICT,5502000,2,K ,12,N,N,N,
WORD OF OUTREACH CHRISTIAN ACA,30,6,3300 ASHER AVENUE             ,LITTLE ROCK         ,AR,72204,DR. ,AMALIA              ,               ,AGNEW                    ,LITTLE ROCK SCHOOL DISTRICT,6001000,18,P ,12,N,N,N,
