School Name,Fiscal Year-Private,Cycle-Private,Mail Address,Mail City,Mail State,Mail Zip,Administrator Prefix,Administrator First Name,Administrator Middle Name,Administrator Last Name,District Description,District LEA,Students Enrolled,Low Grade Level,High Grade Level,Title I Federal Programs,Title II Federal Programs,Title IV Drug Free Schools,Title VI
EWING ADVENTIST JR. ACADEMY   ,32,6,709 ADVENT LANE               ,BONNERDALE          ,AR,71933,    ,AMY                 ,               ,CLARK                    ,CENTERPOINT SCHOOL DISTRICT,5502000,20,K ,12,N,N,N,
FA YETTEVILLE CREATIVE SCHOOL ,32,6,57 Colt Square Drive          ,Fayetteville        ,AR,72703,    ,Barbara             ,               ,Culver                   ,FAYETTEVILLE SCHOOL DISTRICT,7203000,12,K ,1,N,Y,N,
FAYETTEVILLE CHRISTIAN SCHOOL ,32,6,2006 E Mission Blvd           ,Fayetteville        ,AR,72703,    ,Rachel              ,               ,McGathy                  ,FAYETTEVILLE SCHOOL DISTRICT,7203000,114,K ,12,Y,Y,Y,
FAYETTEVILLE CHRISTIAN SCHOOL ,32,6,2006 E Mission Blvd           ,Fayetteville        ,AR,72703,    ,Rachel              ,               ,McGathy                  ,ROGERS SCHOOL DISTRICT,405000,109,P ,8,Y,N,N,
FIRST BAPTIST CHRISTIAN CENTER,32,6,P.O. Box 1340                 ,Clinton             ,AR,72031,Mrs.,Susan               ,               ,Parish                   ,CLINTON SCHOOL DISTRICT,7102000,61,P ,2,N,N,N,
FIRST LUTHERAN SCHOOL - FORT S,32,6,2407 MASSARD ROAD             ,FORT SMITH          ,AR,72903,    ,SAMUEL              ,               ,FISHBURN                 ,FORT SMITH SCHOOL DISTRICT,6601000,73,K ,6,Y,Y,Y,
FIRST UNITED METHODIST        ,32,6,200 NO 15TH                   ,FORT SMITH          ,AR,72901,MRS ,CHRISTIE            ,               ,JACOBS                   ,FORT SMITH SCHOOL DISTRICT,6601000,25,P ,K ,N,N,N,
FORT SMITH MONTESSORI         ,32,6,3908 JENNY LIND               ,FORT SMITH          ,AR,72901,    ,JESSICA             ,               ,HAYES                    ,FORT SMITH SCHOOL DISTRICT,6601000,54,P ,8,N,Y,N,
FORT SMITH MONTESSORI         ,32,6,3908 Jenny Lind RD            ,Fort Smith          ,AR,72901,MS  ,Jessica             ,               ,Hayes                    ,ALMA SCHOOL DISTRICT,1701000,86,P ,9,Y,N,N,
FULL GOSPEL ACADEMY           ,32,6,PO Box 155                    ,Prim                ,Ar,72130,    ,B. J.               ,               ,Knapp                    ,WEST SIDE SCHOOL DIST(CLEBURNE),1204000,22,K ,12,N,N,N,
GENTRY MENNONITE SCHOOL       ,32,6,PO Box 676                    ,Gentry              ,AR,72734,Mr. ,Cameron             ,               ,Clauson                  ,GENTRY SCHOOL DISTRICT,403000,80,K ,8,N,N,N,
GLENWOOD CHRISTIAN SCHOOL     ,32,6,P. O. BOX 954                 ,GLENWOOD            ,AR,71943,    ,SHELLEY             ,               ,BURKS                    ,CENTERPOINT SCHOOL DISTRICT,5502000,10,K ,3,N,N,N,
GRACE CHRISTIAN ACADEMY       ,32,6,1206 North Parker Road        ,Russellville        ,AR,72801,FLYN,William             ,               ,Flynn                    ,RUSSELLVILLE SCHOOL DISTRICT,5805000,16,K ,12,N,N,N,
GRACE LUTHERAN SCHOOL - LOWELL,32,6,415 N 6th Pl                  ,Lowell              ,AR,72745,    ,Charles             ,               ,Huebner                  ,ROGERS SCHOOL DISTRICT,405000,0,P ,9,N,Y,N,
HARDING ACADEMY - SEARCY      ,32,6,1529 East Park AV             ,Searcy              ,AR,72143,    ,Cheri               ,               ,Ramsey                   ,BALD KNOB SCHOOL DISTRICT,7301000,5,P ,12,N,N,N,
HARDING ACADEMY - SEARCY      ,32,6,P.O. Box 10775                ,Searcy              ,AR,72143,Mr. ,James               ,               ,Simmons                  ,SEARCY SCHOOL DISTRICT,7311000,546,P ,12,N,N,N,
HARRISON SEVENTH DAY ADVENTIST,32,6,4877 Hwy 392 W                ,Harrison            ,AR,72601,    ,Teresa              ,               ,Smith                    ,HARRISON SCHOOL DISTRICT,503000,4,K ,8,N,N,N,
HARVEST TIME CHRISTIAN SCHOOL ,32,6,3300 BRIARCLIFF AVE           ,FORT SMITH          ,AR,72908,MRS ,MICHELLE            ,               ,SLOAN                    ,FORT SMITH SCHOOL DISTRICT,6601000,102,P ,8,Y,Y,Y,
HARVEST TIME CHRISTIAN SCHOOL ,32,6,3300 Briarcliff Ave           ,Fort Smith          ,AR,72908,Mrs.,Tylor               ,               ,Smith                    ,ALMA SCHOOL DISTRICT,1701000,110,K ,8,Y,N,N,
HOBSON KINDERGARTEN           ,32,6,116 NO 12                     ,FORT SMITH          ,AR,72901,MS  ,LAKESHA             ,               ,MCCAIN                   ,FORT SMITH SCHOOL DISTRICT,6601000,0,P ,K ,N,N,N,
HOLINESS BIBLE SCHOOL         ,32,6,602 Atlanta SE                ,Gravette            ,AR,72736,    ,Brenda              ,               ,Long                     ,GRAVETTE SCHOOL DISTRICT,404000,13,K ,12,N,N,N,
HOLY ROSARY CATHOLIC SCHOOL - ,32,6,920 West 19th                 ,Stuttgart           ,AR,72160,Ms. ,Kathy               ,               ,Lorince                  ,STUTTGART SCHOOL DISTRICT,104000,54,P ,5,N,Y,N,
HOT SPRINGS COMMUNITY SCHOOL  ,32,6,800 Ridgeway Street           ,Hot Springs         ,AR,71901,Mr. ,Bill                ,               ,Vining                   ,MOUNTAIN PINE SCHOOL DISTRICT,2607000,1,6,12,Y,N,N,
IMMACULATE CONCEPTION SCHOOL -,32,6,223 SO 14TH                   ,FORT SMITH          ,AR,72901,MRS ,SHARON              ,               ,BLENTLINGER              ,FORT SMITH SCHOOL DISTRICT,6601000,216,P ,6,Y,Y,Y,
IMMACULATE CONCEPTION-NORTH LI,32,6,7000 John F. Kennedy Blvd.    ,North Little Rock   ,AR,72116,    ,Marcia              ,               ,Brucks                   ,NORTH LITTLE ROCK SCHOOL DISTRICT,6002000,344,P ,8,Y,Y,N,
IMMACULATE CONCEPTION-NORTH LI,32,6,7000 JFK Boulevard            ,North Little Rock   ,AR,72116,    ,Marcia              ,               ,Brucks                   ,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,6003000,366,P ,8,Y,Y,Y,
