School Name,EC,PK,K,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,Total,,,,,,,,,,,,,,
Carden Academy of Maui,,12,16,18,18,17,18,18,18,18,15,,,,,168,,,,,,,,,,,,,,
Doris Todd Christian Academy,,32,22,25,21,17,20,18,19,16,16,11,1,5,3,226,,,,,,,,,,,,,,
Haleakala Waldorf School,0,21,29,14,16,18,18,16,19,18,18,19,11,17,13,247,,,,,,,,,,,,,,
Hawaiian Mission Academy Maui,,,4,3,5,1,3,4,3,3,4,,,,,30,,,,,,,,,,,,,,
Ka'ahumanu Hou Christian School,,60,8,5,8,10,10,9,2,0,3,3,2,1,0,121,,,,,,,,,,,,,,
Kamehameha Schools Maui,,,40,39,39,44,47,49,110,107,109,130,128,128,115,1085,,,,,,,,,,,,,,
Ke Kula 'o Pi'ilani,,,8,8,3,3,6,3,,,,,,,,31,,,,,,,,,,,,,,
Maui Preparatory Academy,,32,30,19,17,23,15,21,14,21,20,22,16,23,21,294,,,,,,,,,,,,,,
Montessori School of Maui,12,65,30,23,18,24,22,15,10,6,7,,,,,232,,,,,,,,,,,,,,
Roots School of Maui,,19,9,9,9,10,8,8,2,,,,,,,74,,,,,,,,,,,,,,
Sacred Hearts School,13,29,21,21,25,19,19,26,22,17,20,1,1,0,1,235,,,,,,,,,,,,,,
Saint Anthony School,,,40,40,40,40,40,40,40,40,40,50,50,50,50,560,,,,,,,,,,,,,,
Seabury Hall,,,,,,,,20,53,54,52,98,82,64,80,503,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
Island School,,35,20,23,23,20,25,38,24,29,52,51,48,32,41,461,,,,,,,,,,,,,,
Kahili Adventist School,,,5,0,8,2,2,6,2,1,2,,,,,28,,,,,,,,,,,,,,
Kauai Christian Academy,,36,17,16,18,14,15,13,9,13,10,9,9,3,3,185,,,,,,,,,,,,,,
Saint Catherine School,,44,13,10,16,14,14,6,9,5,12,,,,,143,,,,,,,,,,,,,,
Saint Theresa School,,24,27,16,11,12,16,15,16,8,14,,,,,159,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
Aka'ula School,,,,,,,,2,5,3,7,4,2,1,1,25,,,,,,,,,,,,,,
Ho'omana Hou School,,,,,,,,,,,,5,4,3,3,15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Name,EC,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,,
Assets School,,,0,5,8,24,18,20,29,36,39,40,38,29,37,323,,,,,,,,,,,,,,
"Horizons Academy of Maui, Inc.",,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Variety School of Hawaii,,,5,5,5,5,5,5,5,5,2,2,2,2,2,50,,,,,,,,,,,,,,
